brand,model,id
tern,HSD P10,tern__hsd-p10
tern,HSD P5i,tern__hsd-p5i
tern,HSD S00,tern__hsd-s00
tern,HSD S11,tern__hsd-s11
tern,"Orox R14 (27.5"")",tern__orox-r14-275
tern,"Orox S12 (27.5"")",tern__orox-s12-275
tern,Quick Haul D8,tern__quick-haul-d8
tern,Quick Haul Long D9,tern__quick-haul-long-d9
tern,Quick Haul P9 Sport,tern__quick-haul-p9-sport
tern,Vektron P10,tern__vektron-p10
tern,Vektron P5i,tern__vektron-p5i
tern,Vektron Q9,tern__vektron-q9
tern,Vektron S10,tern__vektron-s10
velotric,Velotric Breeze 1 Cruiser Ebike,velotric__velotric-breeze-1
velotric,Velotric Discover 3 Ebike,velotric__velotric-discover-3-commuter-ebike
velotric,Velotric Discover M Ebike,velotric__velotric-discover-m-mid-drive-ebike
velotric,Velotric Fold 1 Ebike,velotric__velotric-fold-1
velotric,Velotric Fold 1 Plus Ebike,velotric__velotric-fold-1-plus
velotric,Velotric GoMad Ebike,velotric__velotric-gomad-utility-ebike
velotric,Velotric GoMad Ebike — GoMad + Passenger Kit,velotric__velotric-gomad-utility-ebike--gomad-passenger-kit
velotric,Velotric GoMad Ebike — GoMad + Young Passenger Kit,velotric__velotric-gomad-utility-ebike--gomad-young-passenger-kit
velotric,Velotric Summit 1 Ebike,velotric__velotric-summit-1
velotric,Velotric Summit 2 Ebike,velotric__velotric-summit-2-hybrid-ebike
velotric,Velotric Triker Electric Tricycle,velotric__velotric-triker
velowave,Ranger 2.0 Fat Tire All-Terrain Electric Bike,velowave__ranger-fat-tire-electric-bike
velowave,Ranger 3.0 Fat Tire All-Terrain Electric Bike,velowave__ranger-3-0-fat-tire-all-terrain-electric-bike
vvolt,Centauri II,vvolt__centauri-ii
vvolt,Centauri SE,vvolt__centauri-se
wallke,"2026 WALLKE H9 Ultra Folding | Off-Grid Power Station E-Bike with Torque Sensor, 37mph Speed, 55/77Ah Battery Options",wallke__wallke-h9-ultra-folding-off-grid-powerstorage-e-bike
wallke,2026 Wallke Ravager 60V Series | 60V 70Ah Long-Range Electric Bike | Up to 180+ Miles | 150Nm Torque,wallke__2026-wallke-ravager-r60-series
